ID,Word Embedding Size,Batch Size,Recurrent Dropout,Dropout,Optimization,Activation,PIP F1-score,TrAP F1-score,TrCP F1-score,TrIP F1-score,TrNAP F1-score,TrWP F1-score,Overall Precision,Overall Recall,Overal F1-score
1,50,32,0.1,0.1,rmsprop,softmax,0.061,0.616,0.235,0,0,0,0.603,0.295,0.397
2,100,32,0.1,0.1,rmsprop,softmax,0.371,0.679,0.4,0,0,0,0.637,0.452,0.529
3,50,64,0.1,0.1,rmsprop,softmax,0.17,0.615,0,0,0,0,0.53,0.354,0.424
4,100,64,0.1,0.1,rmsprop,softmax,0.364,0.656,0.387,0,0.2,0,0.539,0.503,0.52
5,50,128,0.1,0.1,rmsprop,softmax,0.363,0.59,0,0,0,0,0.422,0.5,0.458
6,100,128,0.1,0.1,rmsprop,softmax,0.165,0.602,0.312,0,0,0,0.412,0.18,0.358
7,50,32,0.2,0.1,rmsprop,softmax,0.244,0.623,0.24,0,0,0,0.597,0.351,0.442
8,100,32,0.2,0.1,rmsprop,softmax,0.425,0.671,0.337,0,0,0,0.536,0.485,0.509
9,50,64,0.2,0.1,rmsprop,softmax,0.249,0.607,0,0,0,0,0.526,0.386,0.445
10,100,64,0.2,0.1,rmsprop,softmax,0.196,0.604,0.321,0,0,0,0.634,0.311,0.417
11,50,128,0.2,0.1,rmsprop,softmax,0.013,0.577,0,0,0,0,0.481,0.313,0.379
12,100,128,0.2,0.1,rmsprop,softmax,0.29,0.519,0.186,0,0,0,0.587,0.28,0.379
13,50,32,0.3,0.1,rmsprop,softmax,0.168,0.647,0.264,0,0,0,0.601,0.354,0.445
14,100,32,0.3,0.1,rmsprop,softmax,0.449,0.659,0.31,0,0.105,0,0.604,0.455,0.519
15,50,64,0.3,0.1,rmsprop,softmax,0.212,0.559,0,0,0,0,0.61,0.273,0.377
16,100,64,0.3,0.1,rmsprop,softmax,0.384,0.644,0.255,0,0,0,0.584,0.422,0.49
17,50,128,0.3,0.1,rmsprop,softmax,0.103,0.494,0,0,0,0,0.548,0.215,0.309
18,100,128,0.3,0.1,rmsprop,softmax,0.175,0.56,0,0,0,0,0.6,0.265,0.368
19,50,32,0.1,0.2,rmsprop,softmax,0.328,0.665,0.316,0,0,0,0.562,0.424,0.483
20,100,32,0.1,0.2,rmsprop,softmax,0.442,0.669,0.393,0,0.1,0,0.617,0.472,0.535
21,50,64,0.1,0.2,rmsprop,softmax,0.127,0.599,0,0,0,0,0.521,0.338,0.41
22,100,64,0.1,0.2,rmsprop,softmax,0.196,0.636,0.346,0,0,0,0.653,0.333,0.441
23,50,128,0.1,0.2,rmsprop,softmax,0.166,0.609,0,0,0,0,0.585,0.313,0.408
24,100,128,0.1,0.2,rmsprop,softmax,0.084,0.617,0.048,0,0,0,0.539,0.331,0.41
25,50,32,0.2,0.2,rmsprop,softmax,0.149,0.669,0.345,0,0,0,0.638,0.356,0.457
26,100,32,0.2,0.2,rmsprop,softmax,0.452,0.663,0.351,0,0.1,0,0.573,0.487,0.527
27,50,64,0.2,0.2,rmsprop,softmax,0.037,0.587,0,0,0,0,0.575,0.263,0.36
28,100,64,0.2,0.2,rmsprop,softmax,0.455,0.691,0.31,0,0,0,0.534,0.54,0.537
29,50,128,0.2,0.2,rmsprop,softmax,0,0.564,0,0,0,0,0.583,0.24,0.34
30,100,128,0.2,0.2,rmsprop,softmax,0.156,0.421,0.15,0,0,0,0.654,0.177,0.278
31,50,32,0.3,0.2,rmsprop,softmax,0.083,0.608,0.3,0,0,0,0.594,0.295,0.395
32,100,32,0.3,0.2,rmsprop,softmax,0.427,0.641,0.338,0,0,0,0.647,0.394,0.49
33,50,64,0.3,0.2,rmsprop,softmax,0.171,0.588,0,0,0,0,0.531,0.323,0.402
34,100,64,0.3,0.2,rmsprop,softmax,0.422,0.638,0.281,0,0,0,0.499,0.505,0.502
35,50,128,0.3,0.2,rmsprop,softmax,0.073,0.571,0,0,0,0,0.498,0.311,0.383
36,100,128,0.3,0.2,rmsprop,softmax,0.283,0.638,0.333,0,0,0,0.626,0.364,0.46
37,50,32,0.1,0.3,rmsprop,softmax,0.073,0.533,0.1,0,0,0,0.614,0.225,0.329
38,100,32,0.1,0.3,rmsprop,softmax,0.232,0.68,0.377,0,0.2,0,0.615,0.432,0.507
39,50,64,0.1,0.3,rmsprop,softmax,0.419,0.593,0,0,0,0,0.515,0.427,0.467
40,100,64,0.1,0.3,rmsprop,softmax,0.21,0.634,0.32,0,0,0,0.591,0.376,0.46
41,50,128,0.1,0.3,rmsprop,softmax,0.206,0.561,0,0,0,0,0.508,0.323,0.395
42,100,128,0.1,0.3,rmsprop,softmax,0.409,0.642,0.289,0,0,0,0.476,0.495,0.485
43,50,32,0.2,0.3,rmsprop,softmax,0.19,0.628,0.298,0,0,0,0.645,0.331,0.437
44,100,32,0.2,0.3,rmsprop,softmax,0.368,0.669,0.41,0,0,0,0.581,0.455,0.51
45,50,64,0.2,0.3,rmsprop,softmax,0.26,0.606,0,0,0,0,0.488,0.419,0.451
46,100,64,0.2,0.3,rmsprop,softmax,0.382,0.659,0.333,0,0,0,0.592,0.432,0.499
47,50,128,0.2,0.3,rmsprop,softmax,0.133,0.589,0,0,0,0,0.508,0.331,0.401
48,100,128,0.2,0.3,rmsprop,softmax,0.107,0.418,0,0,0,0,0.678,0.154,0.251
49,50,32,0.3,0.3,rmsprop,softmax,0.118,0.619,0.15,0,0,0,0.624,0.306,0.41
50,100,32,0.3,0.3,rmsprop,softmax,0.158,0.553,0.384,0,0,0,0.669,0.245,0.359
51,50,64,0.3,0.3,rmsprop,softmax,0.105,0.614,0,0,0,0,0.523,0.346,0.416
52,100,64,0.3,0.3,rmsprop,softmax,0.298,0.607,0.328,0,0,0,0.624,0.343,0.443
53,50,128,0.3,0.3,rmsprop,softmax,0.133,0.567,0,0,0,0,0.506,0.308,0.383
54,100,128,0.3,0.3,rmsprop,softmax,0.118,0.414,0,0,0,0,0.643,0.159,0.255
55,50,32,0.1,0.1,adam,softmax,0.347,0.576,0.351,0,0,0,0.67,0.328,0.441
56,100,32,0.1,0.1,adam,softmax,0.467,0.701,0.389,0.296,0.667,0,0.563,0.556,0.559
57,50,64,0.1,0.1,adam,softmax,0.238,0.615,0.267,0,0,0,0.612,0.351,0.446
58,100,64,0.1,0.1,adam,softmax,0.414,0.654,0.393,0,0.261,0,0.611,0.46,0.524
59,50,128,0.1,0.1,adam,softmax,0.216,0.589,0,0,0,0,0.549,0.328,0.411
60,100,128,0.1,0.1,adam,softmax,0.345,0.636,0.333,0,0,0,0.597,0.404,0.482
61,50,32,0.2,0.1,adam,softmax,0.421,0.619,0.329,0,0,0,0.612,0.399,0.483
62,100,32,0.2,0.1,adam,softmax,0.479,0.637,0.38,0.167,0.286,0,0.585,0.485,0.53
63,50,64,0.2,0.1,adam,softmax,0.305,0.598,0,0,0,0,0.51,0.379,0.435
64,100,64,0.2,0.1,adam,softmax,0.453,0.659,0.339,0,0.105,0,0.628,0.448,0.522
65,50,128,0.2,0.1,adam,softmax,0.279,0.584,0,0,0,0,0.492,0.389,0.434
66,100,128,0.2,0.1,adam,softmax,0.383,0.625,0.339,0,0,0,0.547,0.452,0.495
67,50,32,0.3,0.1,adam,softmax,0.395,0.611,0.327,0,0,0,0.598,0.402,0.48
68,100,32,0.3,0.1,adam,softmax,0.477,0.64,0.324,0,0.273,0,0.527,0.518,0.522
69,50,64,0.3,0.1,adam,softmax,0.156,0.567,0,0,0,0,0.583,0.275,0.374
70,100,64,0.3,0.1,adam,softmax,0.373,0.627,0.344,0,0.5,0,0.61,0.412,0.492
71,50,128,0.3,0.1,adam,softmax,0.049,0.562,0,0,0,0,0.597,0.24,0.342
72,100,128,0.3,0.1,adam,softmax,0.22,0.593,0,0,0,0,0.523,0.346,0.416
73,50,32,0.1,0.2,adam,softmax,0.431,0.661,0.294,0,0,0,0.562,0.467,0.51
74,100,32,0.1,0.2,adam,softmax,0.475,0.659,0.355,0,0.48,0,0.621,0.487,0.546
75,50,64,0.1,0.2,adam,softmax,0.343,0.613,0.051,0,0,0,0.533,0.424,0.473
76,100,64,0.1,0.2,adam,softmax,0.386,0.638,0.354,0,0.414,0,0.586,0.439,0.502
77,50,128,0.1,0.2,adam,softmax,0,0.535,0,0,0,0,0.557,0.222,0.318
78,100,128,0.1,0.2,adam,softmax,0.378,0.608,0.371,0,0,0,0.554,0.399,0.464
79,50,32,0.2,0.2,adam,softmax,0.403,0.579,0.1,0,0,0,0.553,0.394,0.46
80,100,32,0.2,0.2,adam,softmax,0.338,0.63,0.405,0,0.667,0,0.632,0.404,0.493
81,50,64,0.2,0.2,adam,softmax,0.28,0.57,0,0,0,0,0.558,0.326,0.411
82,100,64,0.2,0.2,adam,softmax,0.434,0.62,0.351,0,0,0,0.524,0.472,0.497
83,50,128,0.2,0.2,adam,softmax,0.211,0.559,0,0,0,0,0.498,0.308,0.381
84,100,128,0.2,0.2,adam,softmax,0.348,0.452,0.24,0,0,0,0.62,0.338,0.438
85,50,32,0.3,0.2,adam,softmax,0.3,0.564,0.286,0,0,0,0.547,0.254,0.429
86,100,32,0.3,0.2,adam,softmax,0.417,0.618,0.316,0.267,0.615,0,0.569,0.449,0.502
87,50,64,0.3,0.2,adam,softmax,0.217,0.584,0.146,0,0,0,0.556,0.338,0.421
88,100,64,0.3,0.2,adam,softmax,0.393,0.633,0.282,0,0.105,0,0.559,0.422,0.481
89,50,128,0.3,0.2,adam,softmax,0.073,0.563,0,0,0,0,0.496,0.303,0.376
90,100,128,0.3,0.2,adam,softmax,0.319,0.61,0.34,0,0,0,0.571,0.384,0.459
91,50,32,0.1,0.3,adam,softmax,0.397,0.626,0.327,0,0,0,0.577,0.424,0.489
92,100,32,0.1,0.3,adam,softmax,0.484,0.645,0.358,0,0.56,0,0.629,0.467,0.536
93,50,64,0.1,0.3,adam,softmax,0.377,0.585,0.15,0,0,0,0.527,0.399,0.454
94,100,64,0.1,0.3,adam,softmax,0.429,0.581,0.303,0,0,0,0.509,0.414,0.457
95,50,128,0.1,0.3,adam,softmax,0.223,0.586,0,0,0,0,0.558,0.328,0.413
96,100,128,0.1,0.3,adam,softmax,0.303,0.61,0.089,0,0,0,0.566,0.366,0.445
97,50,32,0.2,0.3,adam,softmax,0.332,0.649,0.278,0,0,0,0.622,0.386,0.477
98,100,32,0.2,0.3,adam,softmax,0.46,0.64,0.37,0,0.1,0,0.605,0.46,0.522
99,50,64,0.2,0.3,adam,softmax,0.283,0.581,0,0,0,0,0.516,0.366,0.428
100,100,64,0.2,0.3,adam,softmax,0.333,0.592,0.324,0,0,0,0.638,0.333,0.438
101,50,128,0.2,0.3,adam,softmax,0.226,0.581,0,0,0,0,0.558,0.318,0.405
102,100,128,0.2,0.3,adam,softmax,0.337,0.604,0.333,0,0,0,0.538,0.376,0.443
103,50,32,0.3,0.3,adam,softmax,0.384,0.614,0.316,0,0,0,0.536,0.422,0.472
104,100,32,0.3,0.3,adam,softmax,0.388,0.624,0.37,0.308,0.273,0,0.632,0.412,0.498
105,50,64,0.3,0.3,adam,softmax,0.107,0.581,0,0,0,0,0.544,0.298,0.385
106,100,64,0.3,0.3,adam,softmax,0.335,0.633,0.328,0,0,0,0.619,0.386,0.476
107,50,128,0.3,0.3,adam,softmax,0.189,0.589,0,0,0,0,0.498,0.346,0.408
108,100,128,0.3,0.3,adam,softmax,0.305,586,0,0,0,0,0.495,0.376,0.428
109,50,32,0.1,0.1,rmsprop,relu,0.166,0.459,0,0,0,0,0.311,0.462,0.372
110,100,32,0.1,0.1,rmsprop,relu,0.29,0.619,0,0,0,0,0.591,0.359,0.447
111,50,64,0.1,0.1,rmsprop,relu,0.073,0.581,0,0,0,0,0.439,0.389,0.413
112,100,64,0.1,0.1,rmsprop,relu,0,0.634,0,0,0,0,0.62,0.278,0.384
113,50,128,0.1,0.1,rmsprop,relu,0.038,0.589,0,0,0,0,0.589,0.259,0.36
114,100,128,0.1,0.1,rmsprop,relu,0,0,0,0,0,0,0,0,0
115,50,32,0.2,0.1,rmsprop,relu,0.073,0.199,0.231,0,0,0,0.484,0.081,0.139
116,100,32,0.2,0.1,rmsprop,relu,0.062,0.635,0.216,0,0,0,0.579,0.316,0.409
117,50,64,0.2,0.1,rmsprop,relu,0,0.584,0,0,0,0,0.468,0.332,0.389
118,100,64,0.2,0.1,rmsprop,relu,0,0,0,0,0,0,0,0,0
119,50,128,0.2,0.1,rmsprop,relu,0.062,0.466,0,0,0,0,0.331,0.368,0.348
120,100,128,0.2,0.1,rmsprop,relu,0,0,0,0,0,0,0,0,0
121,50,32,0.3,0.1,rmsprop,relu,0,0.622,0,0,0,0,0.561,0.3,0.391
122,100,32,0.3,0.1,rmsprop,relu,0.107,0.611,0,0,0,0,0.537,0.33,0.409
123,50,64,0.3,0.1,rmsprop,relu,0.038,0.566,0,0,0,0,0.423,0.381,0.401
124,100,64,0.3,0.1,rmsprop,relu,0.159,0.622,0,0,0,0,0.549,0.349,0.426
125,50,128,0.3,0.1,rmsprop,relu,0.013,0.488,0,0,0,0,0.461,0.224,0.302
126,100,128,0.3,0.1,rmsprop,relu,0.061,0.586,0,0,0,0,0.484,0.33,0.392
127,50,32,0.1,0.2,rmsprop,relu,0.085,0.605,0,0,0,0,0.631,0.268,0.376
128,100,32,0.1,0.2,rmsprop,relu,0.364,0.634,0,0,0,0,0.586,0.405,0.479
129,50,64,0.1,0.2,rmsprop,relu,0.124,0.578,0,0,0,0,0.516,0.305,0.384
130,100,64,0.1,0.2,rmsprop,relu,0,0,0,0,0,0,0,0,0
131,50,128,0.1,0.2,rmsprop,relu,0.086,0,0,0,0,0,0.636,0.019,0.037
132,100,128,0.1,0.2,rmsprop,relu,0,0.55,0,0,0,0,0.465,0.289,0.357
133,50,32,0.2,0.2,rmsprop,relu,0.026,0.611,0,0,0,0,0.529,0.319,0.398
134,100,32,0.2,0.2,rmsprop,relu,0.072,0.26,0,0,0,0,0.646,0.084,0.148
135,50,64,0.2,0.2,rmsprop,relu,0,0.602,0,0,0,0,0.526,0.303,0.384
136,100,64,0.2,0.2,rmsprop,relu,0.289,0.585,0,0,0,0,0.465,0.446,0.455
137,50,128,0.2,0.2,rmsprop,relu,0,0.461,0,0,0,0,0.5,0.184,0.269
138,100,128,0.2,0.2,rmsprop,relu,0,0,0,0,0,0,0,0,0
139,50,32,0.3,0.2,rmsprop,relu,0,0,0,0,0,0,0,0,0
140,100,32,0.3,0.2,rmsprop,relu,0.318,0,0,0,0,0,0.548,0.092,0.157
141,50,64,0.3,0.2,rmsprop,relu,0,0.588,0,0,0,0,0.477,0.33,0.39
142,100,64,0.3,0.2,rmsprop,relu,0,0.599,0.077,0,0,0,0.523,0.305,0.386
143,50,128,0.3,0.2,rmsprop,relu,0,0.529,0,0,0,0,0.497,0.243,0.327
144,100,128,0.3,0.2,rmsprop,relu,0.051,0.538,0.114,0,0,0,0.42,0.335,0.373
145,50,32,0.1,0.3,rmsprop,relu,0.013,0.574,0,0,0,0,0.623,0.232,0.339
146,100,32,0.1,0.3,rmsprop,relu,0,0,0,0,0,0,0,0,0
147,50,64,0.1,0.3,rmsprop,relu,0,0,0,0,0,0,0,0,0
148,100,64,0.1,0.3,rmsprop,relu,0.071,0,0,0,0,0,0.353,0.016,0.031
149,50,128,0.1,0.3,rmsprop,relu,0,0,0,0,0,0,0,0,0
150,100,128,0.1,0.3,rmsprop,relu,0.091,0,0,0,0,0,0.333,0.022,0.041
151,50,32,0.2,0.3,rmsprop,relu,0,0.628,0.077,0,0,0,0.546,0.322,0.405
152,100,32,0.2,0.3,rmsprop,relu,0,0,0,0,0,0,0,0,0
153,50,64,0.2,0.3,rmsprop,relu,0,0,0,0,0,0,0,0,0
154,100,64,0.2,0.3,rmsprop,relu,0.025,0.56,0,0,0,0,0.623,0.219,0.324
155,50,128,0.2,0.3,rmsprop,relu,0.062,0.505,0,0,0,0,0.441,0.273,0.337
156,100,128,0.2,0.3,rmsprop,relu,0,0.565,0,0,0,0,0.555,0.246,0.341
157,50,32,0.3,0.3,rmsprop,relu,0,0,0,0,0,0,0,0,0
158,100,32,0.3,0.3,rmsprop,relu,0,0.612,0,0,0,0,0.506,0.332,0.401
159,50,64,0.3,0.3,rmsprop,relu,0,0,0,0,0,0,0,0,0
160,100,64,0.3,0.3,rmsprop,relu,0.199,0.599,0,0,0,0,0.565,0.327,0.414
161,50,128,0.3,0.3,rmsprop,relu,0,0.475,0,0,0,0,0.445,0.219,0.293
162,100,128,0.3,0.3,rmsprop,relu,0,0,0,0,0,0,0,0,0
163,50,32,0.1,0.1,adam,relu,0,0,0,0,0,0,0,0,0
164,100,32,0.1,0.1,adam,relu,0,0.554,0,0,0,0,0.571,0.195,0.29
165,50,64,0.1,0.1,adam,relu,0,0.562,0.091,0,0,0,0.416,0.346,0.378
166,100,64,0.1,0.1,adam,relu,0,0,0,0,0,0,0,0,0
167,50,128,0.1,0.1,adam,relu,0,0.335,0,0,0,0,0.253,0.214,0.232
168,100,128,0.1,0.1,adam,relu,0,0.484,0,0,0,0,0.386,0.278,0.323
169,50,32,0.2,0.1,adam,relu,0.013,0.591,0,0,0,0,0.612,0.243,0.348
170,100,32,0.2,0.1,adam,relu,0,0.345,0,0,0,0,0.478,0.116,0.187
171,50,64,0.2,0.1,adam,relu,0.026,0.565,0,0,0,0,0.491,0.292,0.366
172,100,64,0.2,0.1,adam,relu,0,0,0,0,0,0,0,0,0
173,50,128,0.2,0.1,adam,relu,0,0.27,0,0,0,0,0.476,0.081,0.139
174,100,128,0.2,0.1,adam,relu,0,0.446,0,0,0,0,0.39,0.222,0.283
175,50,32,0.3,0.1,adam,relu,0,0.603,0,0,0,0,0.5,0.327,0.395
176,100,32,0.3,0.1,adam,relu,0.013,0,0,0,0,0,0.333,0.003,0.005
177,50,64,0.3,0.1,adam,relu,0.105,0.517,0,0,0,0,0.505,0.249,0.333
178,100,64,0.3,0.1,adam,relu,0.012,0.558,0,0,0,0,0.473,0.281,0.353
179,50,128,0.3,0.1,adam,relu,0,0.367,0,0,0,0,0.48,0.127,0.201
180,100,128,0.3,0.1,adam,relu,0,0,0,0,0,0,0,0,0
181,50,32,0.1,0.2,adam,relu,0,0,0.089,0,0,0,0.047,0.041,0.044
182,100,32,0.1,0.2,adam,relu,0,0.283,0,0,0,0,0.63,0.078,0.139
183,50,64,0.1,0.2,adam,relu,0,0.54,0,0,0,0,0.511,0.246,0.332
184,100,64,0.1,0.2,adam,relu,0,0,0,0,0,0,0,0,0
185,50,128,0.1,0.2,adam,relu,0,0,0,0,0,0,0,0,0
186,100,128,0.1,0.2,adam,relu,0,0,0,0,0,0,0,0,0
187,50,32,0.2,0.2,adam,relu,0,0.59,0,0,0,0,0.49,0.319,0.386
188,100,32,0.2,0.2,adam,relu,0,0,0,0,0,0,0,0,0
189,50,64,0.2,0.2,adam,relu,0,0.173,0,0,0,0,0.367,0.049,0.086
190,100,64,0.2,0.2,adam,relu,0.066,0.416,0,0,0,0,0.405,0.184,0.253
191,50,128,0.2,0.2,adam,relu,0,0.143,0,0,0,0,0.565,0.035,0.066
192,100,128,0.2,0.2,adam,relu,0.037,0.511,0,0,0,0,0.455,0.257,0.328
193,50,32,0.3,0.2,adam,relu,0,0,0,0,0,0,0,0,0
194,100,32,0.3,0.2,adam,relu,0,0.504,0,0,0,0,0.787,0.159,0.265
195,50,64,0.3,0.2,adam,relu,0,0.371,0,0,0,0,0.475,0.13,0.204
196,100,64,0.3,0.2,adam,relu,0,0.441,0,0,0,0,0.508,0.168,0.252
197,50,128,0.3,0.2,adam,relu,0,0.012,0,0,0,0,0.25,0.003,0.005
198,100,128,0.3,0.2,adam,relu,0.05,0.597,0,0,0,0,0.526,0.305,0.386
199,50,32,0.1,0.3,adam,relu,0,0,0,0,0,0,0,0,0
200,100,32,0.1,0.3,adam,relu,0,0,0,0,0,0,0,0,0
201,50,64,0.1,0.3,adam,relu,0,0.127,0,0,0,0,0.364,0.032,0.06
202,100,64,0.1,0.3,adam,relu,0,0.55,0,0,0,0,0.606,0.216,0.319
203,50,128,0.1,0.3,adam,relu,0,0.364,0,0,0,0,0.354,0.157,0.217
204,100,128,0.1,0.3,adam,relu,0,0.452,0,0,0,0,0.41,0.216,0.283
205,50,32,0.2,0.3,adam,relu,0,0.556,0.182,0,0,0,0.564,0.238,0.335
206,100,32,0.2,0.3,adam,relu,0,0,0,0,0,0,0,0,0
207,50,64,0.2,0.3,adam,relu,0,0.443,0,0,0,0,0.434,0.195,0.269
208,100,64,0.2,0.3,adam,relu,0,0.559,0,0,0,0,0.508,0.257,0.341
209,50,128,0.2,0.3,adam,relu,0,0.444,0,0,0,0,0.454,0.186,0.264
210,100,128,0.2,0.3,adam,relu,0,0.507,0,0,0,0,0.44,0.257,0.324
211,50,32,0.3,0.3,adam,relu,0,0,0,0,0,0,0,0,0
212,100,32,0.3,0.3,adam,relu,0,0.318,0,0,0,0,0.189,0.427,0.262
213,50,64,0.3,0.3,adam,relu,0,0.508,0,0,0,0,0.488,0.227,0.31
214,100,64,0.3,0.3,adam,relu,0.013,0.547,0,0,0,0,0.567,0.23,0.327
215,50,128,0.3,0.3,adam,relu,0,0.377,0,0,0,0,0.48,0.132,0.208
216,100,128,0.3,0.3,adam,relu,0,0.459,0,0,0,0,0.533,0.173,0.261
