ID,Word Embedding Size,Batch Size,Recurrent Dropout,Dropout,Optimization,Activation,Precision-Problem,Recall-Problem,F-Problem,Precision-Treatment,Recall-Treatment,F-Treatment,Overall Precision,Overall Recall,Overall F-Score
1,50,32,0.1,0.1,rmsprop,relu,0.8,0.82,0.81,0.85,0.81,0.83,0.82,0.82,0.816
2,100,32,0.1,0.1,rmsprop,relu,0.83,0.82,0.83,0.87,0.82,0.84,0.85,0.82,0.832
3,50,64,0.1,0.1,rmsprop,relu,0.81,0.8,0.81,0.85,0.8,0.83,0.83,0.8,0.816
4,100,64,0.1,0.1,rmsprop,relu,0.79,0.82,0.8,0.84,0.83,0.83,0.81,0.82,0.814
5,50,128,0.1,0.1,rmsprop,relu,0.8,0.79,0.79,0.82,0.77,0.79,0.81,0.78,0.794
6,100,128,0.1,0.1,rmsprop,relu,0.82,0.79,0.8,0.83,0.81,0.82,0.83,0.8,0.81
7,50,32,0.2,0.1,rmsprop,relu,0.85,0.8,0.82,0.84,0.81,0.83,0.84,0.8,0.824
8,100,32,0.2,0.1,rmsprop,relu,0.85,0.82,0.84,0.83,0.84,0.83,0.84,0.83,0.835
9,50,64,0.2,0.1,rmsprop,relu,0.82,0.8,0.81,0.84,0.8,0.82,0.83,0.8,0.814
10,100,64,0.2,0.1,rmsprop,relu,0.82,0.83,0.82,0.82,0.83,0.82,0.82,0.83,0.823
11,50,128,0.2,0.1,rmsprop,relu,0.77,0.8,0.78,0.78,0.79,0.79,0.78,0.79,0.785
12,100,128,0.2,0.1,rmsprop,relu,0.78,0.82,0.8,0.79,0.82,0.81,0.79,0.82,0.802
13,50,32,0.3,0.1,rmsprop,relu,0.84,0.81,0.82,0.84,0.81,0.83,0.84,0.81,0.824
14,100,32,0.3,0.1,rmsprop,relu,0.85,0.81,0.83,0.83,0.82,0.83,0.84,0.82,0.83
15,50,64,0.3,0.1,rmsprop,relu,0.81,0.79,0.8,0.82,0.8,0.81,0.81,0.79,0.802
16,100,64,0.3,0.1,rmsprop,relu,0.82,0.81,0.81,0.85,0.8,0.83,0.83,0.81,0.818
17,50,128,0.3,0.1,rmsprop,relu,0.81,0.76,0.79,0.83,0.77,0.8,0.82,0.76,0.79
18,100,128,0.3,0.1,rmsprop,relu,0.77,0.81,0.79,0.8,0.8,0.8,0.78,0.8,0.794
19,50,32,0.1,0.2,rmsprop,relu,0.83,0.82,0.83,0.84,0.83,0.83,0.83,0.82,0.828
20,100,32,0.1,0.2,rmsprop,relu,0.84,0.82,0.83,0.84,0.83,0.84,0.84,0.83,0.834
21,50,64,0.1,0.2,rmsprop,relu,0.74,0.81,0.77,0.85,0.77,0.81,0.78,0.79,0.787
22,100,64,0.1,0.2,rmsprop,relu,0.81,0.82,0.82,0.73,0.85,0.78,0.77,0.83,0.802
23,50,128,0.1,0.2,rmsprop,relu,0.76,0.81,0.78,0.8,0.81,0.8,0.78,0.81,0.79
24,100,128,0.1,0.2,rmsprop,relu,0.81,0.77,0.79,0.82,0.79,0.8,0.81,0.78,0.796
25,50,32,0.2,0.2,rmsprop,relu,0.84,0.8,0.82,0.84,0.81,0.83,0.84,0.81,0.823
26,100,32,0.2,0.2,rmsprop,relu,0.81,0.84,0.83,0.85,0.83,0.84,0.82,0.84,0.831
27,50,64,0.2,0.2,rmsprop,relu,0.82,0.8,0.81,0.83,0.8,0.81,0.82,0.8,0.812
28,100,64,0.2,0.2,rmsprop,relu,0.83,0.8,0.82,0.84,0.8,0.82,0.83,0.8,0.819
29,50,128,0.2,0.2,rmsprop,relu,0.78,0.79,0.79,0.8,0.78,0.79,0.79,0.79,0.787
30,100,128,0.2,0.2,rmsprop,relu,0.79,0.83,0.81,0.81,0.82,0.81,0.8,0.83,0.811
31,50,32,0.3,0.2,rmsprop,relu,0.8,0.82,0.81,0.83,0.81,0.82,0.81,0.82,0.816
32,100,32,0.3,0.2,rmsprop,relu,0.83,0.83,0.83,0.84,0.82,0.83,0.84,0.82,0.831
33,50,64,0.3,0.2,rmsprop,relu,0.81,0.79,0.8,0.8,0.81,0.8,0.8,0.8,0.801
34,100,64,0.3,0.2,rmsprop,relu,0.83,0.81,0.82,0.82,0.81,0.82,0.83,0.81,0.818
35,50,128,0.3,0.2,rmsprop,relu,0.81,0.77,0.79,0.8,0.79,0.79,0.81,0.78,0.792
36,100,128,0.3,0.2,rmsprop,relu,0.79,0.81,0.8,0.84,0.8,0.82,0.81,0.81,0.808
37,50,32,0.1,0.3,rmsprop,relu,0.84,0.81,0.83,0.83,0.8,0.82,0.84,0.81,0.823
38,100,32,0.1,0.3,rmsprop,relu,0.85,0.82,0.83,0.8,0.84,0.82,0.83,0.83,0.829
39,50,64,0.1,0.3,rmsprop,relu,0.82,0.8,0.81,0.83,0.8,0.81,0.82,0.8,0.811
40,100,64,0.1,0.3,rmsprop,relu,0.81,0.83,0.82,0.84,0.83,0.84,0.82,0.83,0.828
41,50,128,0.1,0.3,rmsprop,relu,0.8,0.8,0.8,0.82,0.8,0.81,0.81,0.8,0.806
42,100,128,0.1,0.3,rmsprop,relu,0.8,0.79,0.79,0.77,0.82,0.79,0.79,0.8,0.794
43,50,32,0.2,0.3,rmsprop,relu,0.82,0.8,0.81,0.86,0.77,0.81,0.83,0.79,0.811
44,100,32,0.2,0.3,rmsprop,relu,0.82,0.8,0.81,0.8,0.83,0.81,0.81,0.82,0.814
45,50,64,0.2,0.3,rmsprop,relu,0.82,0.8,0.81,0.82,0.83,0.82,0.82,0.81,0.816
46,100,64,0.2,0.3,rmsprop,relu,0.83,0.81,0.82,0.86,0.77,0.81,0.84,0.79,0.817
47,50,128,0.2,0.3,rmsprop,relu,0.82,0.78,0.8,0.79,0.8,0.79,0.8,0.79,0.795
48,100,128,0.2,0.3,rmsprop,relu,0.82,0.81,0.82,0.78,0.82,0.8,0.8,0.82,0.809
49,50,32,0.3,0.3,rmsprop,relu,0.83,0.81,0.82,0.83,0.82,0.82,0.83,0.81,0.817
50,100,32,0.3,0.3,rmsprop,relu,0.84,0.81,0.83,0.83,0.81,0.82,0.84,0.81,0.822
51,50,64,0.3,0.3,rmsprop,relu,0.75,0.8,0.78,0.77,0.77,0.77,0.76,0.79,0.774
52,100,64,0.3,0.3,rmsprop,relu,0.83,0.82,0.83,0.86,0.79,0.82,0.84,0.81,0.825
53,50,128,0.3,0.3,rmsprop,relu,0.82,0.77,0.79,0.78,0.8,0.79,0.8,0.78,0.792
54,100,128,0.3,0.3,rmsprop,relu,0.78,0.81,0.79,0.82,0.8,0.81,0.79,0.81,0.8
55,50,32,0.1,0.1,adam,relu,0.79,0.79,0.79,0.81,0.81,0.81,0.8,0.8,0.8
56,100,32,0.1,0.1,adam,relu,0.8,0.8,0.8,0.81,0.79,0.8,0.8,0.8,0.801
57,50,64,0.1,0.1,adam,relu,0.79,0.78,0.78,0.76,0.79,0.77,0.77,0.78,0.779
58,100,64,0.1,0.1,adam,relu,0.75,0.79,0.77,0.78,0.76,0.77,0.76,0.77,0.767
59,50,128,0.1,0.1,adam,relu,0,0,0,0.26,0.62,0.37,0.24,0.26,0.246
60,100,128,0.1,0.1,adam,relu,0.66,0.72,0.69,0.56,0.38,0.45,0.63,0.58,0.607
61,50,32,0.2,0.1,adam,relu,0.8,0.81,0.81,0.81,0.8,0.8,0.8,0.81,0.806
62,100,32,0.2,0.1,adam,relu,0.82,0.79,0.81,0.8,0.82,0.81,0.81,0.81,0.811
63,50,64,0.2,0.1,adam,relu,0.75,0.8,0.77,0.77,0.79,0.78,0.76,0.79,0.777
64,100,64,0.2,0.1,adam,relu,0.8,0.78,0.79,0.71,0.77,0.74,0.76,0.78,0.768
65,50,128,0.2,0.1,adam,relu,0.72,0.75,0.68,0.49,0.52,0.5,0.57,0.65,0.61
66,100,128,0.2,0.1,adam,relu,0.58,0.77,0.66,0.45,0.26,0.33,0.55,0.56,0.553
67,50,32,0.3,0.1,adam,relu,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.809
68,100,32,0.3,0.1,adam,relu,0.82,0.79,0.81,0.74,0.8,0.77,0.78,0.8,0.79
69,50,64,0.3,0.1,adam,relu,0.78,0.79,0.78,0.75,0.76,0.76,0.77,0.78,0.771
70,100,64,0.3,0.1,adam,relu,0.79,0.75,0.77,0.78,0.76,0.77,0.79,0.75,0.769
71,50,128,0.3,0.1,adam,relu,0.5,0.74,0.59,0.36,0.24,0.29,0.47,0.53,0.497
72,100,128,0.3,0.1,adam,relu,0.74,0.79,0.76,0.78,0.78,0.78,0.75,0.79,0.771
73,50,32,0.1,0.2,adam,relu,0.81,0.79,0.8,0.82,0.81,0.82,0.82,0.8,0.809
74,100,32,0.1,0.2,adam,relu,0.83,0.8,0.81,0.82,0.8,0.81,0.83,0.8,0.811
75,50,64,0.1,0.2,adam,relu,0.76,0.77,0.76,0.78,0.79,0.78,0.77,0.78,0.772
76,100,64,0.1,0.2,adam,relu,0.75,0.78,0.76,0.75,0.8,0.77,0.75,0.79,0.766
77,50,128,0.1,0.2,adam,relu,0.73,0.76,0.75,0.49,0.62,0.55,0.62,0.7,0.659
78,100,128,0.1,0.2,adam,relu,0.7,0.74,0.72,0.4,0.43,0.41,0.58,0.61,0.594
79,50,32,0.2,0.2,adam,relu,0.8,0.8,0.8,0.78,0.82,0.8,0.79,0.81,0.799
80,100,32,0.2,0.2,adam,relu,0.8,0.8,0.8,0.84,0.8,0.82,0.82,0.8,0.808
81,50,64,0.2,0.2,adam,relu,0.75,0.78,0.77,0.79,0.78,0.79,0.77,0.78,0.775
82,100,64,0.2,0.2,adam,relu,0.76,0.77,0.76,0.55,0.62,0.58,0.67,0.7,0.685
83,50,128,0.2,0.2,adam,relu,0.63,0.71,0.67,0.5,0.31,0.38,0.59,0.54,0.566
84,100,128,0.2,0.2,adam,relu,0.74,0.76,0.75,0.74,0.72,0.73,0.74,0.74,0.743
85,50,32,0.3,0.2,adam,relu,0.8,0.78,0.79,0.76,0.79,0.78,0.78,0.79,0.784
86,100,32,0.3,0.2,adam,relu,0.81,0.81,0.81,0.77,0.8,0.79,0.79,0.81,0.8
87,50,64,0.3,0.2,adam,relu,0.79,0.79,0.79,0.8,0.75,0.77,0.79,0.77,0.783
88,100,64,0.3,0.2,adam,relu,0.76,0.8,0.78,0.77,0.77,0.77,0.77,0.78,0.776
89,50,128,0.3,0.2,adam,relu,0.68,0.72,0.7,0.76,0.72,0.74,0.71,0.72,0.716
90,100,128,0.3,0.2,adam,relu,0.68,0.72,0.7,0.45,0.44,0.45,0.69,0.61,0.599
91,50,32,0.1,0.3,adam,relu,0.79,0.8,0.8,0.78,0.79,0.79,0.79,0.8,0.793
92,100,32,0.1,0.3,adam,relu,0.79,0.81,0.8,0.81,0.82,0.81,0.8,0.81,0.807
93,50,64,0.1,0.3,adam,relu,0.73,0.77,0.75,0.76,0.78,0.77,0.74,0.77,0.759
94,100,64,0.1,0.3,adam,relu,0.81,0.78,0.79,0.83,0.78,0.89,0.81,0.78,0.797
95,50,128,0.1,0.3,adam,relu,0.66,0.7,0.68,0.37,0.42,0.45,0.59,0.59,0.588
96,100,128,0.1,0.3,adam,relu,0.75,0.75,0.75,0.73,0.74,0.74,0.74,0.75,0.744
97,50,32,0.2,0.3,adam,relu,0.77,0.82,0.8,0.77,0.83,0.8,0.77,0.83,0.799
98,100,32,0.2,0.3,adam,relu,0.8,0.82,0.81,0.82,0.8,0.81,0.81,0.81,0.811
99,50,64,0.2,0.3,adam,relu,0.77,0.76,0.77,0.75,0.76,0.75,0.76,0.76,0.761
100,100,64,0.2,0.3,adam,relu,0.79,0.77,0.78,0.76,0.78,0.77,0.77,0.77,0.774
101,50,128,0.2,0.3,adam,relu,0.72,0.72,0.72,0.12,0.05,0.07,0.6,0.44,0.509
102,100,128,0.2,0.3,adam,relu,0.61,0.77,0.68,0.56,0.55,0.65,0.59,0.68,0.63
103,50,32,0.3,0.3,adam,relu,0.81,0.79,0.8,0.77,0.78,0.77,0.79,0.78,0.788
104,100,32,0.3,0.3,adam,relu,0.81,0.81,0.81,0.79,0.79,0.79,0.8,0.8,0.803
105,50,64,0.3,0.3,adam,relu,0.73,0.76,0.75,0.73,0.75,0.74,0.73,0.76,0.743
106,100,64,0.3,0.3,adam,relu,0.79,0.77,0.78,0.71,0.8,0.75,0.76,0.78,0.77
107,50,128,0.3,0.3,adam,relu,0.67,0.7,0.69,0.7,0.69,0.7,0.68,0.7,0.691
108,100,128,0.3,0.3,adam,relu,0.71,0.76,0.73,0.7,0.74,0.72,0.7,0.75,0.726
109,50,32,0.1,0.1,rmsprop,elu,0.86,0.79,0.82,0.86,0.79,0.82,0.86,0.79,0.822
110,100,32,0.1,0.1,rmsprop,elu,0.84,0.83,0.84,0.85,0.82,0.83,0.84,0.83,0.834
111,50,64,0.1,0.1,rmsprop,elu,0.83,0.77,0.8,0.84,0.79,0.81,0.83,0.78,0.805
112,100,64,0.1,0.1,rmsprop,elu,0.85,0.77,0.8,0.82,0.81,0.81,0.83,0.78,0.807
113,50,128,0.1,0.1,rmsprop,elu,0.8,0.79,0.8,0.81,0.79,0.8,0.81,0.79,0.799
114,100,128,0.1,0.1,rmsprop,elu,0.84,0.78,0.81,0.75,0.8,0.77,0.8,0.79,0.795
115,50,32,0.2,0.1,rmsprop,elu,0.84,0.79,0.81,0.83,0.8,0.81,0.83,0.79,0.812
116,100,32,0.2,0.1,rmsprop,elu,0.85,0.82,0.84,0.86,0.81,0.83,0.86,0.82,0.836
117,50,64,0.2,0.1,rmsprop,elu,0.78,0.82,0.8,0.84,0.8,0.82,0.81,0.81,0.808
118,100,64,0.2,0.1,rmsprop,elu,0.86,0.8,0.83,0.82,0.82,0.82,0.84,0.8,0.822
119,50,128,0.2,0.1,rmsprop,elu,0.79,0.79,0.79,0.8,0.79,0.79,0.79,0.79,0.791
120,100,128,0.2,0.1,rmsprop,elu,0.8,0.78,0.79,0.81,0.77,0.79,0.81,0.78,0.791
121,50,32,0.3,0.1,rmsprop,elu,0.83,0.81,0.82,0.83,0.81,0.82,0.83,0.81,0.818
122,100,32,0.3,0.1,rmsprop,elu,0.85,0.82,0.83,0.86,0.8,0.83,0.86,0.81,0.832
123,50,64,0.3,0.1,rmsprop,elu,0.83,0.79,0.81,0.81,0.81,0.81,0.82,0.8,0.808
124,100,64,0.3,0.1,rmsprop,elu,0.82,0.81,0.82,0.84,0.78,0.81,0.83,0.8,0.814
125,50,128,0.3,0.1,rmsprop,elu,0.78,0.79,0.78,0.81,0.76,0.78,0.79,0.78,0.782
126,100,128,0.3,0.1,rmsprop,elu,0.82,0.79,0.81,0.83,0.77,0.8,0.83,0.78,0.802
127,50,32,0.1,0.2,rmsprop,elu,0.83,0.82,0.82,0.82,0.81,0.82,0.83,0.82,0.822
128,100,32,0.1,0.2,rmsprop,elu,0.81,0.84,0.82,0.87,0.82,0.84,0.83,0.83,0.832
129,50,64,0.1,0.2,rmsprop,elu,0.81,0.81,0.81,0.82,0.8,0.81,0.81,0.81,0.809
130,100,64,0.1,0.2,rmsprop,elu,0.8,0.83,0.83,0.85,0.81,0.83,0.82,0.82,0.824
131,50,128,0.1,0.2,rmsprop,elu,0.82,0.77,0.79,0.79,0.8,0.8,0.81,0.78,0.795
132,100,128,0.1,0.2,rmsprop,elu,0.8,0.8,0.8,0.78,0.79,0.79,79,0.79,0.792
133,50,32,0.2,0.2,rmsprop,elu,0.85,0.79,0.82,0.85,0.8,0.83,0.85,0.8,0.822
134,100,32,0.2,0.2,rmsprop,elu,0.84,0.83,0.83,0.8,0.84,0.82,0.82,0.83,0.828
135,50,64,0.2,0.2,rmsprop,elu,0.83,0.78,0.81,0.81,0.83,0.82,0.82,0.8,0.811
136,100,64,0.2,0.2,rmsprop,elu,0.82,0.79,0.81,0.82,0.79,0.81,0.82,0.79,0.806
137,50,128,0.2,0.2,rmsprop,elu,0.81,0.77,0.79,0.83,0.76,0.79,0.82,0.77,0.792
138,100,128,0.2,0.2,rmsprop,elu,0.82,0.79,0.8,0.77,0.82,0.79,0.79,0.81,0.8
139,50,32,0.3,0.2,rmsprop,elu,0.83,0.8,0.81,0.82,0.81,0.82,0.83,0.8,0.815
140,100,32,0.3,0.2,rmsprop,elu,0.79,0.82,0.81,0.78,0.84,0.81,0.79,0.83,0.809
141,50,64,0.3,0.2,rmsprop,elu,0.79,0.81,0.8,0.82,0.8,0.81,0.8,0.81,0.803
142,100,64,0.3,0.2,rmsprop,elu,0.84,0.8,0.82,0.84,0.8,0.82,0.84,0.8,0.82
143,50,128,0.3,0.2,rmsprop,elu,0.79,0.79,0.79,0.82,0.78,0.8,0.8,0.78,0.794
144,100,128,0.3,0.2,rmsprop,elu,0.81,0.78,0.8,0.8,0.79,0.79,0.81,0.78,0.795
145,50,32,0.1,0.3,rmsprop,elu,0.76,0.81,0.79,0.84,0.79,0.81,0.79,0.8,0.797
146,100,32,0.1,0.3,rmsprop,elu,0.81,0.81,0.81,0.79,0.82,0.81,0.81,0.81,0.807
147,50,64,0.1,0.3,rmsprop,elu,0.83,0.78,0.8,0.82,0.8,0.81,0.82,0.79,0.806
148,100,64,0.1,0.3,rmsprop,elu,0.86,0.78,0.82,0.82,0.8,0.81,0.84,0.79,0.814
149,50,128,0.1,0.3,rmsprop,elu,0.78,0.81,0.79,0.82,0.79,0.81,0.79,0.8,0.798
150,100,128,0.1,0.3,rmsprop,elu,0.81,0.79,0.8,0.79,0.8,0.79,0.8,0.79,0.796
151,50,32,0.2,0.3,rmsprop,elu,0.81,0.82,0.82,0.84,0.82,0.83,0.82,0.82,0.819
152,100,32,0.2,0.3,rmsprop,elu,0.84,0.83,0.83,0.84,0.83,0.84,0.84,0.83,0.836
153,50,64,0.2,0.3,rmsprop,elu,0.82,0.81,0.82,0.84,0.81,0.82,0.83,0.81,0.818
154,100,64,0.2,0.3,rmsprop,elu,0.83,0.81,0.82,0.86,0.78,0.82,0.84,0.8,0.82
155,50,128,0.2,0.3,rmsprop,elu,0.8,0.78,0.79,0.8,0.8,0.8,0.8,0.79,0.794
156,100,128,0.2,0.3,rmsprop,elu,0.78,0.79,0.78,0.84,0.77,0.81,0.8,0.78,0.793
157,50,32,0.3,0.3,rmsprop,elu,0.82,0.81,0.81,0.84,0.8,0.82,0.83,0.8,0.816
158,100,32,0.3,0.3,rmsprop,elu,0.82,0.83,0.82,0.85,0.81,0.83,0.83,0.82,0.826
159,50,64,0.3,0.3,rmsprop,elu,0.77,0.81,0.79,0.85,0.78,0.81,0.8,0.8,0.8
160,100,64,0.3,0.3,rmsprop,elu,0.84,0.81,0.83,0.82,0.82,0.82,0.83,0.82,0.824
161,50,128,0.3,0.3,rmsprop,elu,0.8,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.79
162,100,128,0.3,0.3,rmsprop,elu,0.8,0.8,0.8,0.83,0.8,0.81,0.81,0.8,0.805
163,50,32,0.1,0.1,adam,elu,0.8,0.79,0.8,0.8,0.8,0.8,0.8,0.8,0.799
164,100,32,0.1,0.1,adam,elu,0.81,0.82,0.82,0.81,0.81,0.81,0.81,0.81,0.812
165,50,64,0.1,0.1,adam,elu,0.78,0.77,0.77,0.79,0.75,0.77,0.78,0.77,0.774
166,100,64,0.1,0.1,adam,elu,0.74,0.77,0.76,0.8,0.75,0.78,0.77,0.76,0.764
167,50,128,0.1,0.1,adam,elu,0.65,0.72,0.68,0.7,0.64,0.67,0.66,0.69,0.675
168,100,128,0.1,0.1,adam,elu,0.64,0.7,0.67,0.75,0.74,0.74,0.68,0.72,0.7
169,50,32,0.2,0.1,adam,elu,0.81,0.78,0.79,0.82,0.77,0.8,0.81,0.78,0.796
170,100,32,0.2,0.1,adam,elu,0.82,0.81,0.81,0.8,0.82,0.81,0.81,0.82,0.812
171,50,64,0.2,0.1,adam,elu,0.76,0.78,0.77,0.81,0.76,0.78,0.78,0.77,0.775
172,100,64,0.2,0.1,adam,elu,0.8,0.76,0.78,0.73,0.75,0.74,0.77,0.75,0.761
173,50,128,0.2,0.1,adam,elu,0.65,0.73,0.68,0.65,0.65,0.65,0.65,0.7,0.671
174,100,128,0.2,0.1,adam,elu,0.69,0.72,0.7,0.74,0.74,0.74,0.71,0.73,0.718
175,50,32,0.3,0.1,adam,elu,0.81,0.78,0.79,0.79,0.74,0.76,0.8,0.76,0.78
176,100,32,0.3,0.1,adam,elu,0.81,0.8,0.8,0.8,0.82,0.81,0.81,0.81,0.807
177,50,64,0.3,0.1,adam,elu,0.75,0.75,0.75,0.72,0.73,0.73,0.74,0.74,0.74
178,100,64,0.3,0.1,adam,elu,0.78,0.76,0.77,0.77,0.77,0.77,0.77,0.76,0.769
179,50,128,0.3,0.1,adam,elu,0.66,0.68,0.67,0.69,0.67,0.68,0.67,0.68,0.675
180,100,128,0.3,0.1,adam,elu,0.77,0.77,0.77,0.74,0.77,0.75,0.76,0.77,0.765
181,50,32,0.1,0.2,adam,elu,0.82,0.8,0.81,0.79,0.82,0.8,0.81,0.8,0.805
182,100,32,0.1,0.2,adam,elu,0.81,0.79,0.8,0.82,0.78,0.8,0.82,0.79,0.801
183,50,64,0.1,0.2,adam,elu,0.73,0.77,0.75,0.75,0.74,0.75,0.74,0.75,0.746
184,100,64,0.1,0.2,adam,elu,0.78,0.8,0.79,0.79,0.77,0.78,0.79,0.78,0.785
185,50,128,0.1,0.2,adam,elu,0.73,0.73,0.73,0.75,0.69,0.72,0.74,0.71,0.725
186,100,128,0.1,0.2,adam,elu,0.58,0.71,0.64,0.42,0.36,0.39,0.53,0.57,0.547
187,50,32,0.2,0.2,adam,elu,0.81,0.78,0.8,0.82,0.78,0.8,0.82,0.78,0.797
188,100,32,0.2,0.2,adam,elu,0.83,0.78,0.8,0.82,0.76,0.79,0.83,0.77,0.798
189,50,64,0.2,0.2,adam,elu,0.77,0.77,0.77,0.75,0.77,0.76,0.76,0.77,0.766
190,100,64,0.2,0.2,adam,elu,0.79,0.77,0.78,0.76,0.77,0.77,0.77,0.77,0.773
191,50,128,0.2,0.2,adam,elu,0.73,0.76,0.74,0.77,0.75,0.76,0.75,0.76,0.752
192,100,128,0.2,0.2,adam,elu,0.74,0.75,0.74,0.78,0.7,0.74,0.75,0.73,0.741
193,50,32,0.3,0.2,adam,elu,0.79,0.82,0.8,0.82,0.8,0.81,0.8,0.81,0.806
194,100,32,0.3,0.2,adam,elu,0.81,0.79,0.8,0.84,0.78,0.81,0.83,0.78,0.804
195,50,64,0.3,0.2,adam,elu,0.76,0.79,0.77,0.8,0.76,0.78,0.77,0.78,0.774
196,100,64,0.3,0.2,adam,elu,0.76,0.78,0.77,0.75,0.76,0.75,0.75,0.77,0.761
197,50,128,0.3,0.2,adam,elu,0.68,0.7,0.69,0.7,0.72,0.71,0.69,0.71,0.698
198,100,128,0.3,0.2,adam,elu,0.74,0.75,0.75,0.66,0.63,0.64,0.71,0.7,0.705
199,50,32,0.1,0.3,adam,elu,0.8,0.78,0.79,0.82,0.76,0.79,0.81,0.77,0.788
200,100,32,0.1,0.3,adam,elu,0.81,0.81,0.81,0.82,0.8,0.81,0.81,0.81,0.81
201,50,64,0.1,0.3,adam,elu,0.78,0.79,0.79,0.76,0.78,0.77,0.78,0.78,0.78
202,100,64,0.1,0.3,adam,elu,0.77,0.8,0.78,0.79,0.78,0.79,0.78,0.79,0.786
203,50,128,0.1,0.3,adam,elu,0.7,0.73,0.72,0.63,0.7,0.66,0.67,0.71,0.693
204,100,128,0.1,0.3,adam,elu,0.64,0.74,0.68,0.75,0.7,0.72,0.68,0.72,0.699
205,50,32,0.2,0.3,adam,elu,0.81,0.79,0.8,0.8,0.77,0.79,0.81,0.78,0.796
206,100,32,0.2,0.3,adam,elu,0.79,0.81,0.8,0.82,0.76,0.79,0.8,0.79,0.794
207,50,64,0.2,0.3,adam,elu,0.77,0.78,0.78,0.75,0.76,0.75,0.76,0.77,0.768
208,100,64,0.2,0.3,adam,elu,0.8,0.76,0.78,0.77,0.75,0.76,0.78,0.75,0.769
209,50,128,0.2,0.3,adam,elu,0.72,0.76,0.74,0.78,0.67,0.72,0.74,0.72,0.732
210,100,128,0.2,0.3,adam,elu,0.7,0.73,0.72,0.69,0.65,0.67,0.7,0.7,0.697
211,50,32,0.3,0.3,adam,elu,0.81,0.8,0.81,0.81,0.78,0.8,0.81,0.79,0.803
212,100,32,0.3,0.3,adam,elu,0.81,0.81,0.81,0.83,0.8,0.81,0.82,0.81,0.812
213,50,64,0.3,0.3,adam,elu,0.77,0.78,0.77,0.8,0.76,0.78,0.78,0.77,0.775
214,100,64,0.3,0.3,adam,elu,0.73,0.77,0.75,0.79,0.78,0.78,0.75,0.77,0.763
215,50,128,0.3,0.3,adam,elu,0.68,0.73,0.7,0.75,0.71,0.73,0.7,0.72,0.713
216,100,128,0.3,0.3,adam,elu,0.73,0.76,0.74,0.76,0.75,0.75,0.74,0.75,0.746
